,displayName,description,abbreviation,value,perGameValue,rank,teamName
42,Quarterback Rating,Quarterback Rating.,RAT,80.1825,68.14833068847656,77.0,Panthers
0,Average Gain,The average gained yards per position.,AG,553.83,,19.0,Panthers
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2650.0,,10.0,Panthers
2,Long Rushing,The amount of yards for the longest run.,LNG,60.0,22.0,14.0,Panthers
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Panthers
4,Net Total Yards,The amount of total net yards.,NTYDS,5206.0,,29.0,Panthers
5,Net Yards Per Game,The total net yards gained per game.,CMP,306.2353,,29.0,Panthers
6,Rushing Attempts,The total number of attempted rushes.,ATT,483.0,28.0,12.0,Panthers
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,15.0,,10.0,Panthers
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,119.0,7.0,13.0,Panthers
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,15.0,,10.0,Panthers
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,0.0,,30.0,Panthers
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,16.0,,11.0,Panthers
12,Rushing Yards,The total rushing yards.,YDS,2210.0,130.0,10.0,Panthers
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,130.0,,10.0,Panthers
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,42.0,,27.0,Panthers
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-69.0,,3.0,Panthers
16,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Panthers
17,Total Offensive Plays,The number of offenseive plays run.,OP,976.0,56.0,63.0,Panthers
18,Total Points,The number of total points earned.,PTS,347.0,20.0,20.0,Panthers
19,Total Points Per Game,The average number of points scored per game.,TP/G,20.412,,20.0,Panthers
20,Total Touchdowns,The number of total Touchdowns scored.,TD,36.0,2.0,22.0,Panthers
21,Total Yards,The number of total yards gained.,TYDS,5456.0,306.0,29.0,Panthers
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0,Panthers
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0,Panthers
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,1.0,,4.0,Panthers
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,3.0,1.0,2.0,Panthers
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Panthers
27,Yards Per Game,The average number of yards per game.,YDS/G,320.941,,29.0,Panthers
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.576,4.236000061035156,14.0,Panthers
0,Average Gain,The average gained yards per position.,AG,553.83,,19.0,Panthers
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,5141.0,,30.0,Panthers
2,Long Reception,The amount of yards for the longest reception.,LNG,75.0,41.0,7.0,Panthers
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Panthers
4,Net Total Yards,The amount of total net yards.,NTYDS,5206.0,,29.0,Panthers
5,Net Yards Per Game,The total net yards gained per game.,CMP,306.2353,,29.0,Panthers
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,49.0,,16.0,Panthers
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,138.0,,31.0,Panthers
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,7.0,,25.0,Panthers
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,3.0,,26.0,Panthers
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,427.0,25.0,30.0,Panthers
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,16.0,,28.0,Panthers
12,Receiving Yards,The total receiving yards.,YDS,3246.0,190.0,28.0,Panthers
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1771.0,104.0,21.0,Panthers
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1475.0,,31.0,Panthers
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,190.941,,28.0,Panthers
16,Receptions,The total number of receptions.,REC,267.0,15.0,30.0,Panthers
17,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Panthers
18,Total Offensive Plays,The number of offenseive plays run.,OP,976.0,56.0,63.0,Panthers
19,Total Points,The number of total points earned.,PTS,347.0,20.0,20.0,Panthers
20,Total Points Per Game,The average number of points scored per game.,TP/G,20.412,,20.0,Panthers
21,Total Touchdowns,The number of total Touchdowns scored.,TD,36.0,2.0,22.0,Panthers
22,Total Yards,The number of total yards gained.,TYDS,5456.0,306.0,29.0,Panthers
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0,Panthers
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1.0,Panthers
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,0.0,,21.0,Panthers
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,1.0,1.0,22.0,Panthers
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Panthers
28,Yards Per Game,The average number of yards per game.,YDS/G,320.941,,29.0,Panthers
29,Yards Per Reception,The average number of yards per reception.,AVG,12.157,12.088000297546387,3.0,Panthers
0,Assist Tackles,The number of assists on tackles.,AST,464.0,24.0,17.0,Panthers
1,Average Interception Yards,The average number of return yards per interception.,AVG,18.9,19.5,6.0,Panthers
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.571,7.026000022888184,19.0,Panthers
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,3.679,,29.0,Panthers
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2.0,Panthers
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7.0,Panthers
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,3.0,,4.0,Panthers
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1.0,Panthers
8,Kicks Blocked,The number of times a kick was blocked.,KB,5.0,,1.0,Panthers
9,Long Interception,The amount of yards of the longest interception return.,LNG,54.0,,11.0,Panthers
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6.0,Panthers
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1.0,Panthers
12,Passes Defended,The total number of passes defended.,PD,62.0,3.0,25.0,Panthers
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1.0,Panthers
14,Sacks,The total number of sacks.,SACK,35.0,2.059000015258789,25.0,Panthers
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,230.0,13.529000282287598,24.0,Panthers
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10.0,Panthers
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,794.0,41.0,22.0,Panthers
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,53.0,5.0,2.0,Panthers
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,195.0,,24.0,Panthers
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,88.0,5.176000118255615,9.0,Panthers
21,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Panthers
22,Total Tackles,The total number of tackles.,TOT,1258.0,65.0,39.0,Panthers
23,Yards Allowed,Yards allowed,YA,0.0,,1.0,Panthers
24,Points Allowed,Points allowed,PA,0.0,,1.0,Panthers
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0,Panthers
0,Interceptions,The total number of interceptions.,INT,10.0,,24.0,Panthers
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,2.0,,3.0,Panthers
2,Interception Yards,The number of yards gained after an interception.,YDS,189.0,11.0,10.0,Panthers
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,24.097,18.680999755859375,11.0,Panthers
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,60.464,20.441999435424805,16.0,Panthers
2,Extra Point Attempts,The number of extra point attempts.,XPA,32.0,1.0,11.0,Panthers
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,93.75,83.33399963378906,12.0,Panthers
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1.0,Panthers
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1.0,Panthers
6,Extra Points Made,The number of extra point attempts made.,XPM,30.0,1.0,12.0,Panthers
7,Fair Catches,The number of fair catches.,FC,0.0,,1.0,Panthers
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,19.45400047302246,1.0,Panthers
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,35.0,2.0,4.0,Panthers
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2.0,Panthers
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,2.0,,15.0,Panthers
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,17.0,,1.0,Panthers
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,14.0,,1.0,Panthers
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,2.0,,15.0,Panthers
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,6.0,Panthers
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,2.0,,21.0,Panthers
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1367.0,80.0,4.0,Panthers
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,94.286,84.80400085449219,1.0,Panthers
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,0.0,,1.0,Panthers
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0.0,,1.0,Panthers
21,Field Goal Made,The number of times a field goal is made.,FGM,33.0,1.0,2.0,Panthers
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2.0,Panthers
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,2.0,,15.0,Panthers
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,16.0,,1.0,Panthers
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,13.0,,1.0,Panthers
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,2.0,,12.0,Panthers
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,4.0,Panthers
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,2.0,,16.0,Panthers
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1294.0,76.0,1.0,Panthers
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,73.0,4.0,16.0,Panthers
31,Kickoff Returns,The number of times a kickoff was returned.,KR,31.0,1.0,7.0,Panthers
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1.0,Panthers
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,747.0,43.0,11.0,Panthers
34,Kickoffs,The number of kickoffs taken.,K,84.0,4.0,8.0,Panthers
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5079.0,110.0,9.0,Panthers
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,54.0,,14.0,Panthers
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,54.0,38.0,11.0,Panthers
38,Long Kickoff,The distance of the longest kickoff.,LK,70.0,48.0,9.0,Panthers
39,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Panthers
40,Total Kicking Points,The number of total points earned kicking.,PTS,129.0,7.0,4.0,Panthers
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,54.762,57.99800109863281,12.0,Panthers
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,46.0,2.0,13.0,Panthers
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1.0,Panthers
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1.0,Panthers
2,Fumble Recoveries,The number of fumble recoveries.,FR,7.0,,23.0,Panthers
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,72.0,,6.0,Panthers
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1.0,Panthers
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1.0,Panthers
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1.0,Panthers
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1.0,Panthers
8,Kick Returns,The number of kick returns.,ATT,31.0,1.0,14.0,Panthers
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6.0,Panthers
10,Kick Return Yards,The total yardage of kick returns.,YDS,747.0,43.0,11.0,Panthers
11,Long Kick Return,The longest kick return in yards.,LNG,66.0,24.0,8.0,Panthers
12,Long Punt Return,The longest punt return in yards.,LNG,22.0,8.0,24.0,Panthers
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1.0,Panthers
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1.0,Panthers
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,8.0,,20.0,Panthers
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,7.0,,28.0,Panthers
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1.0,Panthers
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1.0,Panthers
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,15.0,,24.0,Panthers
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,44.118,,27.0,Panthers
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1.0,Panthers
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1.0,Panthers
23,Punt Returns,The number of punt returns.,ATT,34.0,2.0,11.0,Panthers
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1.0,Panthers
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1.0,Panthers
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4.0,Panthers
27,Punt Return Yards,The total yardage of punt returns.,YDS,216.0,12.0,23.0,Panthers
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1.0,Panthers
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1.0,Panthers
30,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Panthers
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,24.097,18.680999755859375,10.0,Panthers
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,6.353,4.748000144958496,28.0,Panthers
33,Yards Per Return,The average number of yards per return.,YDS/R,14.815,,23.0,Panthers
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,8.556,4.748000144958496,19.0,Panthers
1,Fair Catches,The number of fair catches.,FC,31.0,1.0,2.0,Panthers
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,48.457,48.43199920654297,9.0,Panthers
3,Long Punt,The distance of the longest punt.,LNG,68.0,58.0,16.0,Panthers
4,Net Average Punt Yards,The average net number of yards per punt.,NET,45.605,45.70199966430664,4.0,Panthers
5,Punt Returns,The number of times a punt was returned.,ATT,27.0,1.0,18.0,Panthers
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,231.0,13.0,20.0,Panthers
7,Punts,The number of punts taken.,PUNTS,81.0,4.0,6.0,Panthers
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,11.0,Panthers
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,11.0,Panthers
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,10.0,,10.0,Panthers
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,12.346,,11.0,Panthers
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,39.0,2.0,1.0,Panthers
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,48.148,46.47100067138672,2.0,Panthers
14,Punt Yards,The total amount of yardage of punts.,YDS,3925.0,230.0,4.0,Panthers
15,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Panthers
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,7.407,8.598999977111816,14.0,Panthers
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,6.0,,9.0,Panthers
0,Defensive Points,The number of points scored on defense.,DP,0.0,2.0,11.0,Panthers
1,Field Goals,The number of field goals made.,FG,33.0,1.0,5.0,Panthers
2,Kick Extra Points,The number of extra points made.,PAT,30.0,1.0,23.0,Panthers
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1.0,Panthers
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,16.0,,28.0,Panthers
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,16.0,,28.0,Panthers
6,Return Touchdowns,The total number of return touchdowns.,RET,3.0,,6.0,Panthers
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,16.0,,11.0,Panthers
8,Total Points,The number of total points scored.,PTS,347.0,19.0,20.0,Panthers
9,Total Points Per Game,The number of points scored per game.,TP/G,20.412,,20.0,Panthers
10,Total Touchdowns,The number of touchdowns scored in total.,TD,35.0,1.0,23.0,Panthers
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,1.0,,18.0,Panthers
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,0.0,,21.0,Panthers
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,0.0,,21.0,Panthers
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,1.0,,4.0,Panthers
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0,Panthers
0,Total 1st downs,The the number of first downs.,CMP,281.0,16.0,29.0,Panthers
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,138.0,8.0,31.0,Panthers
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,24.0,1.0,23.0,Panthers
3,First Downs Per Game,The average number of first downs per game.,FD/G,16.529,16.0,29.0,Panthers
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,119.0,7.0,13.0,Panthers
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,21.0,1.0,17.0,Panthers
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,57.143,37.84299850463867,5.0,Panthers
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,12.0,,12.0,Panthers
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,8.0,,20.0,Panthers
9,Possession Time Seconds,The total time of possession in seconds.,POSS,29127.0,1713.0,31.0,Panthers
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,67.08,,16.0,Panthers
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,34.78,,7.0,Panthers
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,86.96,55.0,6.0,Panthers
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,52.17,,20.0,Panthers
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,202.0,11.0,26.0,Panthers
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,31.683,31.141000747680664,30.0,Panthers
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,64.0,3.0,32.0,Panthers
17,Total Giveaways,The total number of giveaways.,TGV,21.0,,20.0,Panthers
18,Total Penalties,The total number of total penalties.,TPEN,104.0,6.0,8.0,Panthers
19,Total Penalty Yards,The total number of penalty yards.,TPY,862.0,50.0,8.0,Panthers
20,Total Takeaways,The total number of takeaways.,TT,17.0,,27.0,Panthers
21,Total Drives,The total number of drives.,D,0.0,,1.0,Panthers
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-4.0,,24.0,Panthers
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,19.0,1.0,18.0,Jaguars
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,13.0,,2.0,Jaguars
2,Forced Fumbles,The total number of forced fumbles.,FF,18.0,,13.0,Jaguars
3,Fumbles Recovered,The number of fumbles recovered.,FR,13.0,1.0,2.0,Jaguars
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,2.0,,2.0,Jaguars
5,Games Played,Games Played,GP,17.0,,1.0,Jaguars
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1.0,Jaguars
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5.0,Jaguars
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,2.0,,2.0,Jaguars
0,Average Gain,The average gained yards per position.,AG,581.897,,9.0,Jaguars
1,Completion Percentage,The percentage of completed passes.,CMP%,66.107,66.95600128173828,9.0,Jaguars
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,394.0,23.0,9.0,Jaguars
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,5628.0,,13.0,Jaguars
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,1.51,1.5720000267028809,5.0,Jaguars
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,9.0,,3.0,Jaguars
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,59.0,34.0,23.0,Jaguars
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1.0,Jaguars
8,Net Passing Yards,The amount of net passing yards.,NYDS,3959.0,232.0,10.0,Jaguars
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,232.88235,,10.0,Jaguars
10,Net Total Yards,The amount of net total yards.,NTYDS,6075.0,,9.0,Jaguars
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,357.35294,,10.0,Jaguars
12,Passing Attempts,The number of times a pass is attempted.,ATT,596.0,35.0,9.0,Jaguars
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,55.0,,9.0,Jaguars
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,208.0,12.0,9.0,Jaguars
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,10.0,,8.0,Jaguars
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,6.0,,5.0,Jaguars
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,4.195,2.857142925262451,16.0,Jaguars
18,Passing Touchdowns,The total number of passing touchdowns.,TD,25.0,1.0,14.0,Jaguars
19,Passing Yards,The total passing yards.,YDS,4148.0,244.0,12.0,Jaguars
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1989.0,,10.0,Jaguars
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2159.0,,15.0,Jaguars
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,244.0,,12.0,Jaguars
23,Passer Rating,Passer Rating,RTG,93.864174,89.85797882080078,97.0,Jaguars
24,Total Sacks,The total number of sacks.,SACK,28.0,1.0,28.0,Jaguars
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,189.0,11.0,7.0,Jaguars
26,Net Passing Attempts,Net Passing Attempts.,NATT,624.0,36.0,37.0,Jaguars
27,Team Games Played,The amount of games played.,TGP,17.0,,1.0,Jaguars
28,Total Offensive Plays,The number of total offensive plays.,TOP,1072.0,62.0,53.0,Jaguars
29,Total Points,The number of total points scored.,PTS,404.0,23.0,10.0,Jaguars
30,Total Points Per Game,The number of points scored per game.,TP,23.765,,10.0,Jaguars
31,Total Touchdowns,The number of touchdowns scored in total.,TD,45.0,2.0,10.0,Jaguars
32,Total Yards,The number of yards accumulated in total.,TYDS,6264.0,357.0,10.0,Jaguars
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1.0,Jaguars
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1.0,Jaguars
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,3.0,,1.0,Jaguars
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,6.0,1.0,3.0,Jaguars
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Jaguars
38,Yards Per Completion,The average number of yards per pass completion.,CMP,10.528,10.059000015258789,24.0,Jaguars
39,Yards Per Game,The average number of yards per game.,YDS/G,368.471,,11.0,Jaguars
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,6.96,6.960999965667725,18.0,Jaguars
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,6.344551282051282,6.444444444444445,,Jaguars
42,Quarterback Rating,Quarterback Rating.,RAT,93.864174,89.85797882080078,97.0,Jaguars
0,Average Gain,The average gained yards per position.,AG,581.897,,9.0,Jaguars
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2481.0,,14.0,Jaguars
2,Long Rushing,The amount of yards for the longest run.,LNG,62.0,30.0,12.0,Jaguars
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Jaguars
4,Net Total Yards,The amount of total net yards.,NTYDS,6075.0,,9.0,Jaguars
5,Net Yards Per Game,The total net yards gained per game.,CMP,357.35294,,10.0,Jaguars
6,Rushing Attempts,The total number of attempted rushes.,ATT,448.0,26.0,16.0,Jaguars
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,15.0,,10.0,Jaguars
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,114.0,6.0,16.0,Jaguars
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,15.0,,10.0,Jaguars
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,4.0,,3.0,Jaguars
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,16.0,,11.0,Jaguars
12,Rushing Yards,The total rushing yards.,YDS,2116.0,124.0,14.0,Jaguars
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,124.471,,14.0,Jaguars
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,64.0,,1.0,Jaguars
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-121.0,,26.0,Jaguars
16,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Jaguars
17,Total Offensive Plays,The number of offenseive plays run.,OP,1072.0,62.0,53.0,Jaguars
18,Total Points,The number of total points earned.,PTS,404.0,23.0,10.0,Jaguars
19,Total Points Per Game,The average number of points scored per game.,TP/G,23.765,,10.0,Jaguars
20,Total Touchdowns,The number of total Touchdowns scored.,TD,45.0,2.0,10.0,Jaguars
21,Total Yards,The number of total yards gained.,TYDS,6264.0,357.0,10.0,Jaguars
